"priority_section","schema_name","table_name","column_name","data_type_category","formatted_data_type","overall_column_score","overall_quality_level","pii_risk_assessment","governance_priority","potential_pii_indicator","business_criticality","immediate_actions","recommended_improvements","steward_assignment"
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,Owner,INTEGER,int,56.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,Revision,TEXT,nchar(10),56.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,BillOfMaterials,PerAssemblyQty,NUMERIC,"decimal(8,2)",56.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Location,Availability,NUMERIC,"decimal(8,2)",56.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderHeader,Status,INTEGER,tinyint,56.50,POOR,LOW_RISK,LOW,STATUS_CONTROL,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,ShoppingCartItem,Quantity,INTEGER,int,56.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SpecialOffer,MinQty,INTEGER,int,56.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesTerritory,Group,TEXT,nvarchar(100),56.75,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SpecialOffer,Type,TEXT,nvarchar(100),56.75,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SpecialOffer,Category,TEXT,nvarchar(100),56.75,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,ReorderPoint,INTEGER,smallint,57.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,WorkOrder,OrderQty,INTEGER,int,57.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderDetail,LineTotal,NUMERIC,"numeric(38,6)",57.00,POOR,MINIMAL_RISK,MEDIUM,BUSINESS_METRIC,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,TotalDue,NUMERIC,money,57.00,POOR,MINIMAL_RISK,MEDIUM,BUSINESS_METRIC,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,ChangeNumber,INTEGER,int,57.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,FolderFlag,BOOLEAN,bit,57.75,POOR,LOW_RISK,LOW,STATUS_CONTROL,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductDescription,Description,TEXT,nvarchar(800),57.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,CurrencyRate,EndOfDayRate,NUMERIC,money,58.25,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,ProductLine,TEXT,nchar(4),58.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,ShipMethod,ShipRate,NUMERIC,money,58.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,EmployeePayHistory,Rate,NUMERIC,money,59.25,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,SubTotal,NUMERIC,money,59.50,POOR,MINIMAL_RISK,MEDIUM,BUSINESS_METRIC,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,TaxAmt,NUMERIC,money,59.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,Freight,NUMERIC,money,59.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesPerson,Bonus,NUMERIC,money,59.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesPerson,CommissionPct,NUMERIC,smallmoney,59.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesTerritory,CostYTD,NUMERIC,money,59.50,POOR,MINIMAL_RISK,MEDIUM,BUSINESS_METRIC,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesTerritory,CostLastYear,NUMERIC,money,59.50,POOR,MINIMAL_RISK,MEDIUM,PERSONAL_NAME,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SpecialOffer,DiscountPct,NUMERIC,smallmoney,59.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,MaritalStatus,TEXT,nchar(2),59.75,POOR,LOW_RISK,MEDIUM,STATUS_CONTROL,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,WorkOrderRouting,OperationSequence,INTEGER,smallint,59.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,No immediate improvements required,OPERATIONS_DATA_STEWARD
